,title,video_id,video_date,video_view,video_like
68,DPL 2021 Summer - 7화 | 대장전 4강 & 개인전 8강 토너먼트,XMj-JVrKvJo,2021-08-17T13:36:43Z,5447,39
69,"민초 VS 반민초 논란 종결, DPL은 민초단이 접수! | 대장전 8강 풀리그 Day3 MATCH 19~28 하이라이트 | DPL 2021 Summer HIGHLIGHT",P4-0VdaZu9k,2021-08-10T17:00:11Z,3089,31
70,DPL 2021 Summer - 6화 | 대장전 8강 풀리그 Day3,uyme_uqmwM4,2021-08-10T13:38:54Z,4344,35
71,[던파OST] 히만스텔라의 깜짝 버스킹,niT3iigaes8,2021-08-09T04:11:30Z,41161,720
72,"팀원도 씹어 먹는 육식다람-ZI, 그런데 이제 귀여움을 곁들인... | 개인전 16강Match 1~8 하이라이트 | DPL 2021 Summer HIGHLIGHT",Pw3hVwYRlEU,2021-08-06T16:12:32Z,2950,30
73,DPL 2021 Summer - 5화 | 개인전 16강 1~8경기,-B9h-k7aI_o,2021-08-06T15:00:19Z,4112,34
74,1일 1올킬! 전규원은 결투장을 찢어 | 대장전 8강 풀리그 Day2 MATCH 10~18 하이라이트 | DPL 2021 Summer HIGHLIGHT,sYb2OBfUQCE,2021-08-04T10:30:31Z,1941,24
75,DPL 2021 Summer 4화 | 대장전 8강 풀리그 Day 2,lt24mrzDwzo,2021-08-04T10:30:25Z,3997,35
76,DPL 2021 Summer 3화 | 개인전 32강 B조,zikreZcsY1I,2021-07-30T18:03:00Z,5096,34
77,"16강 진출까지 필요한 시간, 60초! | 개인전 32강 B조 Match 1~8 하이라이트 | DPL 2021 Summer HIGHLIGHT",HzfFVTeexc8,2021-07-30T15:42:46Z,1956,15
78,DPL 2021 Summer 2화 | 대장전 8강 풀리그 Day 1,yd6ETRIrbMA,2021-07-27T23:02:07Z,6494,54
79,대장전 8강 풀리그 Day1 MATCH 1~9 하이라이트 | DPL 2021 Summer HIGHLIGHT,RM6BzvFiDP0,2021-07-27T14:39:10Z,2564,34
80,DPL 2021 Summer 1화 | 개인전 32강 A조,y6145H5x8b0,2021-07-26T07:38:47Z,9740,92
81,개인전 32강 A조 1~8경기 하이라이트 | DPL 2021 Summer HIGHLIGHT,eIPEvvYgvII,2021-07-26T03:02:13Z,5063,52
82,[던파] 블레이드 업데이트 (프로모션 영상),ryk1I37dJjg,2021-07-08T01:06:48Z,2520788,109
83,[던파] 아라드 레인저 2탄! 예고편 (Feat. 블레이드),QxtsY8x_bas,2021-07-08T01:05:26Z,3662716,265
84,[던파] 아라드 레인저 2탄! 메이킹 필름,raWdUmRWZiI,2021-07-08T01:01:15Z,15935,407
85,[던파] 아라드 레인저 2탄! (Feat. 블레이드),WiAEpmGAH2M,2021-07-08T01:01:09Z,4809015,3000
86,[던파] 시즌7 Act 18. BLADE : 복수의 여신,kgRsVTwREtM,2021-07-07T09:06:21Z,28081,246
87,[던파] 블레이드 애니메이션 - 새로운 칼날,2B81Z6c5QRM,2021-06-29T10:00:36Z,95908,2786
88,[던파OST] It's My War Now (2021 ver.),v7sPEF2PptM,2021-06-29T10:00:28Z,63916,602
89,[던파OST] It's My War Now (2021 ver.) (Inst.),rJNFXCSmtxY,2021-06-29T10:00:23Z,6896,75
90,[던파] 블레이드 오디오북 - 하얀 기억,6KJ2kWhCwZM,2021-06-24T10:00:46Z,26474,138
91,[던파] 블레이드 플레이 영상,ebTVBOVuNwM,2021-06-16T10:07:19Z,304588,831
92,[던파] 혼돈의 오즈마 시네마틱 모음 (Ozma Cinematics),buChYmGNsMA,2021-05-28T08:10:57Z,79804,612
93,[던파] 혼돈의 오즈마 레이드 업데이트 프로모션 영상 (30초 ver),rUu8mjE5xHg,2021-05-27T05:09:15Z,227309,163
94,[던파] 시즌7 Act 17. 혼돈의 오즈마,mLkXKC4asp4,2021-05-26T09:40:48Z,60291,377
95,[던파BGM] 혼돈의 왕좌 (Throne of the chaos - Ozma raid),LnqO2NIKqJU,2021-05-21T07:40:03Z,387826,1431
96,[던파BGM] 공포의 대지 - 보스 (Land of Terror Boss - Ozma raid),4BzGEVZHY3o,2021-05-21T07:40:03Z,105523,300
97,[던파BGM] 파멸의 길목 (Path of Ruin - Ozma raid),vFpSLr2n7PU,2021-05-21T07:40:03Z,43322,138
98,[던파BGM] 절망의 갈림길 - 보스 (Crossroads of despair Boss - Ozma raid),y3H6DUGQ1uo,2021-05-21T07:40:03Z,43070,142
99,"[던파BGM] 계시의 탑, 엘리노스 ((Tower of revelation, Elinos - Ozma raid)",yjYIK-BVyWo,2021-05-21T07:40:03Z,46333,97
