,weapon,job,weapon_name,weapon_ratio,weapon_count,weapon_percent,new_name
65,"결전의 보우건 - 스핏파이어(여)
974 (3.544%)",프레이야,결전의 보우건 - 스핏파이어(여),974 (3.544%),974,(3.544%),결전 무기
66,"근원을 삼킨 빗자루
965 (9.837%)",어센션,근원을 삼킨 빗자루,965 (9.837%),965,(9.837%),근원 무기
67,"결전의 빗자루 - 디멘션워커
338 (3.445%)",어센션,결전의 빗자루 - 디멘션워커,338 (3.445%),338,(3.445%),결전 무기
68,"근원을 삼킨 봉
1,017 (5.968%)",아이올로스,근원을 삼킨 봉,"1,017 (5.968%)",1017,(5.968%),근원 무기
69,"결전의 봉 - 스위프트 마스터
757 (4.442%)",아이올로스,결전의 봉 - 스위프트 마스터,757 (4.442%),757,(4.442%),결전 무기
70,"결전의 로드 - 빙결사
1,400 (11.733%)",이터널,결전의 로드 - 빙결사,"1,400 (11.733%)",1400,(11.733%),결전 무기
71,"근원을 삼킨 로드
630 (5.280%)",이터널,근원을 삼킨 로드,630 (5.280%),630,(5.280%),근원 무기
72,"근원을 삼킨 로드
787 (8.447%)",오블리비언,근원을 삼킨 로드,787 (8.447%),787,(8.447%),근원 무기
73,"결전의 로드 - 엘레멘탈 바머
311 (3.338%)",오블리비언,결전의 로드 - 엘레멘탈 바머,311 (3.338%),311,(3.338%),결전 무기
74,"근원을 삼킨 스태프
246 (2.640%)",오블리비언,근원을 삼킨 스태프,246 (2.640%),246,(2.640%),근원 무기
75,"결전의 스태프 - 엘레멘탈 바머
135 (1.449%)",오블리비언,결전의 스태프 - 엘레멘탈 바머,135 (1.449%),135,(1.449%),결전 무기
76,"근원을 삼킨 창
830 (6.690%)",뱀파이어 로드,근원을 삼킨 창,830 (6.690%),830,(6.690%),근원 무기
77,"결전의 창 - 블러드 메이지
692 (5.577%)",뱀파이어 로드,결전의 창 - 블러드 메이지,692 (5.577%),692,(5.577%),결전 무기
78,"근원을 삼킨 빗자루
9,973 (8.988%)",헤카테,근원을 삼킨 빗자루,"9,973 (8.988%)",9973,(8.988%),근원 무기
79,"결전의 빗자루 - 인챈트리스
9,406 (8.477%)",헤카테,결전의 빗자루 - 인챈트리스,"9,406 (8.477%)",9406,(8.477%),결전 무기
80,"결전의 빗자루 - 마도학자
2,958 (8.396%)",지니위즈,결전의 빗자루 - 마도학자,"2,958 (8.396%)",2958,(8.396%),결전 무기
81,"근원을 삼킨 빗자루
2,607 (7.400%)",지니위즈,근원을 삼킨 빗자루,"2,607 (7.400%)",2607,(7.400%),근원 무기
82,"근원을 삼킨 로드
4,300 (14.655%)",오버마인드,근원을 삼킨 로드,"4,300 (14.655%)",4300,(14.655%),근원 무기
83,"결전의 로드 - 엘레멘탈마스터
858 (2.924%)",오버마인드,결전의 로드 - 엘레멘탈마스터,858 (2.924%),858,(2.924%),결전 무기
